protein	frequency
NP_001278847.1	98
NP_001278850.1	81
NP_001278855.1	188
NP_001278856.1	211
NP_001278868.1	319
NP_001278869.1	214
NP_001278870.1	47
NP_001278871.1	47
NP_001278878.1	145
NP_001278879.1	95
NP_001278881.1	112
NP_001278882.1	121
NP_001278883.1	109
NP_001278885.1	261
NP_001278886.1	184
NP_001278887.1	280
NP_001278888.1	49
NP_001278889.1	212
NP_001278890.1	184
NP_001278892.1	53
NP_001278894.1	169
NP_001278899.1	139
NP_001278903.1	12
NP_001278904.1	12
NP_001278905.1	187
NP_001278906.1	187
NP_001278907.1	383
NP_001278908.1	341
NP_001278909.1	275
NP_001278910.1	351
NP_001278913.1	349
NP_001278914.1	122
NP_001278915.1	231
NP_001278917.1	206
NP_001278920.1	214
NP_001278921.1	77
NP_001278922.1	122
NP_001278923.1	70
NP_001278924.1	102
NP_001278926.1	234
NP_001278928.1	97
NP_001278930.1	84
NP_001278931.1	78
NP_001278932.1	152
NP_001278933.1	121
NP_001278935.1	137
NP_001278936.1	111
NP_001278937.1	61
NP_001278938.1	579
NP_001278945.1	118
NP_001278946.1	38
NP_001278947.1	74
NP_001278948.1	74
NP_001278951.1	147
NP_001278954.1	151
NP_001278956.1	258
NP_001278957.1	216
NP_001278959.1	67
NP_001278961.1	222
NP_001278962.1	158
NP_001278963.1	172
NP_001278964.1	164
NP_001278966.1	122
NP_001278967.1	502
NP_001278968.1	93
NP_001278969.1	87
NP_001278970.1	180
NP_001278972.1	416
NP_001278974.1	48
NP_001278975.1	42
NP_001278977.1	42
NP_001278983.1	107
NP_001279.2	52
NP_001279998.1	141
NP_001279999.1	140
NP_001280.3	36
NP_001280000.1	128
NP_001280002.1	88
NP_001280004.1	79
NP_001280005.1	85
NP_001280006.1	88
NP_001280007.1	76
NP_001280008.1	61
NP_001280009.1	95
NP_001280012.1	354
NP_001280014.1	85
NP_001280018.1	132
NP_001280021.1	85
NP_001280033.1	146
NP_001280034.1	134
NP_001280092.1	46
NP_001280093.1	26
NP_001280099.1	66
NP_001280107.1	133
NP_001280108.1	140
NP_001280109.1	140
NP_001280115.1	61
NP_001280116.1	61
NP_001280118.1	90
NP_001280119.1	248
NP_001280120.1	241
NP_001280121.1	207
NP_001280122.1	78
NP_001280124.1	239
NP_001280125.1	207
NP_001280126.1	86
NP_001280133.1	304
NP_001280134.1	294
NP_001280141.1	11
NP_001280142.1	7
NP_001280143.1	9
NP_001280144.1	9
NP_001280145.1	9
NP_001280157.1	117
NP_001280160.1	58
NP_001280162.1	23
NP_001280164.1	183
NP_001280165.1	162
NP_001280202.1	215
NP_001280203.1	309
NP_001280214.1	170
NP_001280215.1	170
NP_001280218.1	120
NP_001280219.1	120
NP_001280220.1	169
NP_001280223.1	140
NP_001280225.1	140
NP_001280227.1	417
NP_001280233.1	417
NP_001280235.2	795
NP_001280236.2	748
NP_001280241.1	134
NP_001280486.1	456
NP_001280491.1	178
NP_001280555.1	227
NP_001280556.1	112
NP_001280557.1	90
NP_001280561.1	90
NP_001280563.1	151
NP_001280569.1	333
NP_001280624.1	189
NP_001280625.1	94
NP_001280626.1	87
NP_001280627.1	87
NP_001280654.1	288
NP_001280668.1	14
NP_001280736.1	40
NP_001280737.1	26
NP_001280738.1	26
NP_001280739.1	26
NP_001280740.1	26
NP_001280741.1	26
NP_001280744.1	100
NP_001281.1	73
NP_001281074.1	90
NP_001281243.1	85
NP_001281257.1	85
NP_001281261.1	193
NP_001281264.1	354
NP_001281265.1	354
NP_001281266.1	23
NP_001281267.1	141
NP_001281268.1	51
NP_001281269.1	354
NP_001281270.1	267
NP_001281271.1	217
NP_001281272.1	157
NP_001281273.1	149
NP_001281274.1	68
NP_001281275.1	58
NP_001281276.1	159
NP_001281277.1	58
NP_001284.1	50
NP_001284346.2	98
NP_001284348.1	168
NP_001284349.1	64
NP_001284355.1	219
NP_001284356.1	219
NP_001284357.1	219
NP_001284358.1	219
NP_001284360.1	88
NP_001284363.1	217
NP_001284364.1	177
NP_001284367.1	28
NP_001284368.1	343
NP_001284369.1	156
NP_001284370.1	164
NP_001284371.1	107
NP_001284477.1	139
NP_001284478.1	166
NP_001284480.1	42
NP_001284481.1	42
NP_001284482.1	307
NP_001284484.1	78
NP_001284485.1	77
NP_001284487.1	74
NP_001284488.1	125
NP_001284489.1	184
NP_001284490.1	184
NP_001284491.1	31
NP_001284492.1	70
NP_001284493.1	70
NP_001284497.1	141
NP_001284498.1	41
NP_001284499.1	210
NP_001284500.1	131
NP_001284501.1	159
NP_001284502.1	386
NP_001284504.1	89
NP_001284505.1	21
NP_001284506.1	18
NP_001284507.1	15
NP_001284517.1	248
NP_001284519.1	195
NP_001284521.1	318
NP_001284523.1	280
NP_001284524.1	296
NP_001284526.1	203
NP_001284527.1	116
NP_001284528.1	115
NP_001284529.1	128
NP_001284531.1	75
NP_001284532.1	71
NP_001284533.1	64
NP_001284537.1	219
NP_001284538.1	464
NP_001284539.1	116
NP_001284540.1	136
NP_001284542.1	133
NP_001284543.1	237
NP_001284544.1	166
NP_001284545.1	175
NP_001284546.1	89
NP_001284547.1	60
NP_001284549.1	102
NP_001284552.1	171
NP_001284553.1	183
NP_001284554.1	166
NP_001284569.1	168
NP_001284573.1	118
NP_001284574.1	99
NP_001284575.1	74
NP_001284576.1	276
NP_001284577.1	191
NP_001284578.1	38
NP_001284579.1	496
NP_001284580.1	762
NP_001284581.1	275
NP_001284582.1	275
NP_001284583.1	298
NP_001284584.1	197
NP_001284585.1	200
NP_001284586.1	181
NP_001284587.1	166
NP_001284588.1	166
NP_001284589.1	166
NP_001284590.1	142
NP_001284592.1	131
NP_001284593.1	130
NP_001284594.1	143
NP_001284595.1	59
NP_001284596.1	38
NP_001284597.1	115
NP_001284598.1	194
NP_001284599.1	194
NP_001284600.1	192
NP_001284601.1	191
NP_001284602.1	207
NP_001284603.1	384
NP_001284626.1	138
NP_001284627.1	34
NP_001284628.1	156
NP_001284629.1	156
NP_001284630.1	52
NP_001284632.1	264
NP_001284633.1	396
NP_001284634.1	290
NP_001284635.1	284
NP_001284636.1	355
NP_001284637.1	350
NP_001284638.1	63
NP_001284642.1	351
NP_001284643.1	120
NP_001284646.1	51
NP_001284647.1	72
NP_001284648.1	113
NP_001284649.1	68
NP_001284650.1	57
NP_001284651.1	113
NP_001284652.1	65
NP_001284653.1	101
NP_001284662.1	69
NP_001284664.1	114
NP_001284667.1	40
NP_001284671.1	82
NP_001284672.1	322
NP_001284673.1	139
NP_001284674.1	128
NP_001284675.1	21
NP_001284677.1	97
NP_001284678.1	80
NP_001284679.1	70
NP_001284680.1	70
NP_001284681.1	163
NP_001284682.1	88
NP_001284683.1	99
NP_001284687.1	141
NP_001284688.1	156
NP_001284689.1	98
NP_001284690.1	60
NP_001284691.1	80
NP_001284692.1	323
NP_001284693.1	238
NP_001284695.1	136
NP_001284697.1	35
NP_001284698.1	44
NP_001284699.1	32
NP_001284700.1	66
NP_001284701.1	534
NP_001284702.1	238
NP_001284703.1	102
NP_001284704.1	108
NP_001284705.1	79
NP_001284706.1	175
NP_001284707.1	102
NP_001285.1	165
NP_001286.1	89
NP_001287.2	166
NP_001287656.1	169
NP_001287657.1	268
NP_001287658.1	105
NP_001287659.1	82
NP_001287660.1	332
NP_001287662.1	82
NP_001287663.1	71
NP_001287664.1	132
NP_001287665.1	113
NP_001287666.1	58
NP_001287667.1	38
NP_001287669.1	35
NP_001287670.1	174
NP_001287673.1	302
NP_001287674.1	350
NP_001287675.1	74
NP_001287676.1	93
NP_001287677.1	93
NP_001287678.1	120
NP_001287679.1	140
NP_001287680.1	148
NP_001287681.1	194
NP_001287682.1	120
NP_001287684.1	120
NP_001287685.1	156
NP_001287686.1	107
NP_001287687.1	107
NP_001287688.1	257
NP_001287690.1	182
NP_001287692.1	74
NP_001287693.1	37
NP_001287695.1	25
NP_001287696.1	158
NP_001287697.1	214
NP_001287698.1	106
NP_001287699.1	116
NP_001287700.1	90
NP_001287701.1	90
NP_001287702.1	93
NP_001287705.1	95
NP_001287706.1	95
NP_001287707.1	95
NP_001287709.1	360
NP_001287710.1	100
NP_001287711.1	100
NP_001287712.1	115
NP_001287713.1	68
NP_001287714.1	260
NP_001287715.1	163
NP_001287716.1	168
NP_001287720.1	126
NP_001287721.1	125
NP_001287722.1	258
NP_001287725.1	4
NP_001287726.1	4
NP_001287727.1	148
NP_001287728.1	144
NP_001287729.1	70
NP_001287730.1	356
NP_001287731.1	165
NP_001287733.1	91
NP_001287734.1	65
NP_001287735.1	91
NP_001287736.1	90
NP_001287737.1	64
NP_001287739.1	121
NP_001287742.1	362
NP_001287743.1	184
NP_001287744.1	49
NP_001287745.1	46
NP_001287746.1	45
NP_001287747.1	39
NP_001287748.1	36
NP_001287749.1	113
NP_001287751.1	31
NP_001287752.1	201
NP_001287753.1	177
NP_001287755.1	140
NP_001287757.1	379
NP_001287758.1	138
NP_001287759.1	120
NP_001287760.1	61
NP_001287761.1	159
NP_001287762.1	169
NP_001287763.1	34
NP_001287766.1	129
NP_001287767.1	123
NP_001287769.1	90
NP_001287770.1	90
NP_001287771.1	77
NP_001287772.1	221
NP_001287773.1	75
NP_001287774.1	111
NP_001287775.1	255
NP_001287776.1	278
NP_001287777.1	91
NP_001287778.1	169
NP_001287779.1	267
NP_001287780.1	266
NP_001287781.1	266
NP_001287782.1	115
NP_001287783.1	52
NP_001287784.1	53
NP_001287785.1	65
NP_001287786.1	43
NP_001287787.1	134
NP_001287788.1	207
NP_001287789.1	113
NP_001287794.1	138
NP_001287795.1	386
NP_001287796.1	225
NP_001287797.1	156
NP_001287810.1	78
NP_001287813.1	10
NP_001287814.1	122
NP_001287816.1	151
NP_001287817.1	43
NP_001287818.1	170
NP_001287820.1	11
NP_001287823.1	34
NP_001287824.1	93
NP_001287825.1	93
NP_001287826.1	23
NP_001287827.1	27
NP_001287828.1	361
NP_001287829.1	76
NP_001287830.1	50
NP_001287832.1	140
NP_001287833.1	119
NP_001287835.1	322
NP_001287838.1	32
NP_001287839.1	175
NP_001287840.1	123
NP_001287841.1	119
NP_001287842.1	40
NP_001287843.1	106
NP_001287844.1	29
NP_001287845.1	44
NP_001287846.1	27
NP_001287850.1	177
NP_001287851.1	68
NP_001287852.1	140
NP_001287853.1	140
NP_001287856.1	44
NP_001287858.1	21
NP_001287859.1	237
NP_001287861.1	85
NP_001287862.1	166
NP_001287863.1	130
NP_001287864.1	158
NP_001287867.1	115
NP_001287868.1	113
NP_001287871.1	348
NP_001287872.1	348
NP_001287873.1	346
NP_001287874.1	60
NP_001287875.1	227
NP_001287876.1	78
NP_001287877.1	213
NP_001287878.1	111
NP_001287879.1	26
NP_001287880.1	318
NP_001287887.1	155
NP_001287888.1	265
NP_001287889.1	63
NP_001287890.1	182
NP_001287891.1	180
NP_001287892.1	57
NP_001287893.1	57
NP_001287894.1	58
NP_001287895.1	168
NP_001287896.1	318
NP_001287897.1	178
NP_001287898.1	178
NP_001287899.1	98
NP_001287900.1	57
NP_001287901.1	149
NP_001287902.1	154
NP_001287904.1	155
NP_001287905.1	88
NP_001287906.1	71
NP_001287907.1	39
NP_001287908.1	169
NP_001287909.1	158
NP_001287910.1	9
NP_001287911.1	78
NP_001287913.1	361
NP_001287914.1	74
NP_001287915.1	74
NP_001287916.1	73
NP_001287917.1	74
NP_001287918.1	73
NP_001287919.1	61
NP_001287924.1	188
NP_001287936.1	288
NP_001287937.1	37
NP_001287939.1	163
NP_001287940.1	79
NP_001287941.1	168
NP_001287942.1	169
NP_001287944.1	276
NP_001287946.1	87
NP_001287947.1	260
NP_001287948.1	75
NP_001287950.1	75
NP_001287951.1	34
NP_001287952.1	34
NP_001287953.1	34
NP_001287956.1	219
NP_001287957.1	220
NP_001287959.1	237
NP_001287960.1	307
NP_001287961.1	311
NP_001287962.1	294
NP_001287964.1	151
NP_001287965.1	162
NP_001287966.1	107
NP_001287967.1	556
NP_001287969.1	65
NP_001287972.1	113
NP_001287973.1	109
NP_001287974.1	108
NP_001287975.1	32
NP_001287976.1	69
NP_001287983.1	191
NP_001287985.1	99
NP_001287986.1	170
NP_001287987.1	61
NP_001287988.1	143
NP_001287989.1	167
NP_001287990.1	49
NP_001287991.1	144
NP_001287992.1	212
NP_001287994.1	200
NP_001287998.1	72
NP_001288.3	548
NP_001288000.1	340
NP_001288001.1	442
NP_001288002.1	48
NP_001288003.1	43
NP_001288004.1	29
NP_001288005.1	5
NP_001288006.1	29
NP_001288007.1	12
NP_001288008.1	192
NP_001288009.1	29
NP_001288010.1	6
NP_001288011.1	29
NP_001288012.1	29
NP_001288013.1	341
NP_001288014.1	51
NP_001288015.1	22
NP_001288017.1	369
NP_001288027.1	126
NP_001288028.1	112
NP_001288030.1	65
NP_001288031.1	67
NP_001288032.1	53
NP_001288033.1	33
NP_001288034.1	33
NP_001288035.1	59
NP_001288037.1	73
NP_001288038.1	92
NP_001288039.1	626
NP_001288057.1	391
NP_001288061.1	277
NP_001288063.1	184
NP_001288064.1	184
NP_001288065.1	146
NP_001288067.1	220
NP_001288068.1	120
NP_001288073.1	117
NP_001288074.1	106
NP_001288075.1	97
NP_001288088.1	53
NP_001288090.1	317
NP_001288092.1	172
NP_001288104.1	142
NP_001288111.1	106
NP_001288115.1	157
NP_001288116.1	157
NP_001288117.1	201
NP_001288118.1	157
NP_001288119.1	201
NP_001288120.1	157
NP_001288121.1	157
NP_001288122.1	201
NP_001288123.1	157
NP_001288124.1	157
NP_001288125.1	201
NP_001288126.1	157
NP_001288127.1	157
NP_001288128.1	157
NP_001288129.1	157
NP_001288130.1	205
NP_001288131.1	281
NP_001288135.1	291
NP_001288139.1	151
NP_001288141.1	492
NP_001288143.1	222
NP_001288153.1	75
NP_001288157.1	20
NP_001288158.1	20
NP_001288160.1	20
NP_001288166.1	60
NP_001288168.1	231
NP_001288169.1	47
NP_001288170.1	47
NP_001288171.1	97
NP_001288172.1	86
NP_001288173.1	31
NP_001288180.1	144
NP_001288181.1	144
NP_001288182.1	144
NP_001288196.1	35
NP_001288201.1	16
NP_001288246.1	121
NP_001288253.1	38
NP_001288268.1	37
NP_001288294.1	1154
NP_001288300.1	77
NP_001288556.1	116
NP_001288574.1	84
NP_001288576.1	90
NP_001288577.1	90
NP_001288579.1	74
NP_001288609.1	127
NP_001288612.1	160
NP_001288613.1	179
NP_001288614.1	103
NP_001288619.1	89
NP_001288627.1	40
NP_001288628.1	40
NP_001288629.1	35
NP_001288630.1	21
NP_001288636.1	199
NP_001288637.1	198
NP_001288638.1	146
NP_001288643.1	81
NP_001288645.1	96
NP_001288646.1	96
NP_001288647.1	96
NP_001288662.1	22
NP_001288675.1	57
NP_001288698.1	47
NP_001288700.1	47
NP_001288701.1	38
NP_001288702.1	24
NP_001288703.1	24
NP_001288704.1	49
NP_001288707.1	96
NP_001288708.1	184
NP_001288709.1	184
NP_001288721.1	61
NP_001288748.1	138
NP_001288749.1	315
NP_001288750.1	174
NP_001288751.1	74
NP_001288752.1	142
NP_001288753.1	142
NP_001288754.1	187
NP_001288755.1	137
NP_001288756.1	47
NP_001288757.1	40
NP_001288758.1	396
NP_001288759.1	244
NP_001288762.1	30
NP_001288763.1	61
NP_001288768.1	71
NP_001288778.1	301
NP_001288781.1	31
NP_001288784.1	75
NP_001288785.1	70
NP_001288789.1	334
NP_001288790.1	429
NP_001288799.1	102
NP_001288800.1	71
NP_001288802.1	47
NP_001288803.1	47
NP_001289.1	306
NP_001289011.1	63
NP_001289038.1	104
NP_001289052.1	31
NP_001289198.1	68
NP_001289201.1	72
NP_001289279.1	13
NP_001289307.1	233
NP_001289382.1	187
NP_001289384.1	89
NP_001289385.1	87
NP_001289390.1	17
NP_001289393.1	185
NP_001289394.1	191
NP_001289418.1	146
NP_001289419.1	152
NP_001289420.1	136
NP_001289421.1	91
NP_001289433.1	104
NP_001289437.1	212
NP_001289438.1	212
NP_001289439.1	212
NP_001289480.1	147
NP_001289481.1	25
NP_001289483.1	172
NP_001289545.1	34
NP_001289550.1	143
NP_001289551.1	143
NP_001289552.1	204
NP_001289556.1	26
NP_001289561.1	76
NP_001289562.1	45
NP_001289572.1	135
NP_001289573.1	49
NP_001289574.1	49
NP_001289575.1	49
NP_001289576.1	49
NP_001289577.1	49
NP_001289581.1	78
NP_001289582.1	68
NP_001289609.1	82
NP_001289617.1	95
NP_001289618.1	91
NP_001289619.1	91
NP_001289620.1	91
NP_001289624.1	36
NP_001289632.1	92
NP_001289633.1	65
NP_001289634.1	90
NP_001289675.1	47
NP_001289682.1	56
NP_001289687.1	85
NP_001289698.1	528
NP_001289699.1	108
NP_001289706.1	104
NP_001289726.1	84
NP_001289738.1	101
NP_001289741.1	57
NP_001289742.1	46
NP_001289744.1	8
NP_001289745.1	113
NP_001289746.1	105
NP_001289748.1	75
NP_001289749.1	43
NP_001289750.1	62
NP_001289751.1	62
NP_001289752.1	62
NP_001289753.1	62
NP_001289754.1	62
NP_001289755.1	149
NP_001289764.1	55
NP_001289765.1	55
NP_001289768.1	18
NP_001289769.1	18
NP_001289770.1	18
NP_001289790.1	46
NP_001289791.1	30
NP_001289812.1	346
NP_001289813.1	312
NP_001289855.1	90
NP_001289856.1	90
NP_001289875.1	189
NP_001289888.1	87
NP_001289889.1	100
NP_001289890.1	63
NP_001289925.1	127
NP_001289927.1	179
NP_001289928.1	168
NP_001289929.1	175
NP_001289930.1	158
NP_001289936.1	61
NP_001289937.1	61
NP_001289941.1	353
NP_001289942.1	333
NP_001289958.1	338
NP_001289959.1	74
NP_001289960.1	74
NP_001289963.1	129
NP_001289964.1	129
NP_001289966.1	105
NP_001289968.1	137
NP_001289969.1	355
NP_001289970.1	358
NP_001289972.1	142
NP_001289976.1	36
NP_001289977.1	36
NP_001289978.1	39
NP_001289979.1	48
NP_001289980.1	124
NP_001289981.1	204
NP_001289987.1	52
NP_001289989.1	38
NP_001290.2	90
NP_001290024.1	107
NP_001290025.1	204
NP_001290026.1	210
NP_001290027.1	159
NP_001290032.1	188
NP_001290033.1	179
NP_001290034.1	196
NP_001290036.1	119
NP_001290037.1	119
NP_001290038.1	96
NP_001290039.1	114
NP_001290040.1	78
NP_001290041.1	64
NP_001290042.1	46
NP_001290047.1	60
NP_001290048.1	50
NP_001290049.1	26
NP_001290053.1	93
NP_001290054.1	93
NP_001290055.1	49
NP_001290056.1	77
NP_001290057.1	40
NP_001290059.1	256
NP_001290062.1	50
NP_001290063.1	132
NP_001290064.1	197
NP_001290065.1	280
NP_001290066.1	53
NP_001290067.1	53
NP_001290068.1	339
NP_001290069.1	328
NP_001290070.1	341
NP_001290071.1	341
NP_001290072.1	231
NP_001290074.1	237
NP_001290157.1	111
NP_001290161.1	509
NP_001290162.1	86
NP_001290163.1	86
NP_001290165.1	53
NP_001290167.1	266
NP_001290170.1	110
NP_001290174.1	217
NP_001290175.1	218
NP_001290176.1	61
NP_001290177.1	41
NP_001290180.1	234
NP_001290181.1	160
NP_001290182.1	132
NP_001290185.1	235
NP_001290186.1	235
NP_001290192.1	85
NP_001290193.1	231
NP_001290197.1	110
NP_001290198.1	122
NP_001290199.1	257
NP_001290201.1	163
NP_001290203.1	299
NP_001290204.1	297
NP_001290205.1	195
NP_001290206.1	41
NP_001290208.1	326
NP_001290210.1	165
NP_001290211.1	165
NP_001290330.1	266
NP_001290331.1	99
NP_001290332.1	113
NP_001290333.1	161
NP_001290334.1	129
NP_001290335.1	129
NP_001290340.1	53
NP_001290341.1	53
NP_001290342.1	45
NP_001290348.1	176
NP_001290349.1	174
NP_001290350.1	170
NP_001290351.1	158
NP_001290354.1	127
NP_001290355.1	127
NP_001290358.1	151
NP_001290362.1	117
NP_001290365.1	111
NP_001290366.1	98
NP_001290367.1	98
NP_001290368.1	98
NP_001290369.1	98
NP_001290370.1	98
NP_001290371.1	98
NP_001290372.1	98
NP_001290373.1	98
NP_001290376.1	384
NP_001290377.1	256
NP_001290378.1	254
NP_001290379.1	260
NP_001290380.1	227
NP_001290385.1	175
NP_001290386.1	367
NP_001290387.1	135
NP_001290389.1	79
NP_001290390.1	45
NP_001290391.1	45
NP_001290394.1	35
NP_001290397.1	49
NP_001290400.1	4
NP_001290401.1	189
NP_001290402.1	187
NP_001290403.1	187
NP_001290404.1	83
NP_001290406.1	70
NP_001290407.1	55
NP_001290408.1	16
NP_001290410.1	104
NP_001290413.1	118
NP_001290415.1	50
NP_001290416.1	50
NP_001290423.1	110
NP_001290425.1	465
NP_001290426.1	465
NP_001290427.1	465
NP_001290428.1	144
NP_001290429.1	465
NP_001290430.1	156
NP_001290432.1	33
NP_001290433.1	31
NP_001290435.1	28
NP_001290436.1	28
NP_001290437.1	119
NP_001290441.1	143
NP_001290442.1	119
NP_001290443.1	113
NP_001290444.1	128
NP_001290445.1	126
NP_001290452.1	123
NP_001290453.1	113
NP_001290454.1	31
NP_001290455.1	106
NP_001290456.1	89
NP_001290457.1	83
NP_001290458.1	72
NP_001290459.1	72
NP_001290460.1	54
NP_001290462.1	137
NP_001290469.1	155
NP_001290471.2	143
NP_001290472.1	20
NP_001290474.1	16
NP_001290542.1	35
NP_001290543.1	153
NP_001290544.1	141
NP_001290547.1	111
NP_001290549.1	72
NP_001290553.1	8
NP_001290554.1	8
NP_001290555.1	5
NP_001291.3	59
NP_001291192.1	116
NP_001291193.1	81
NP_001291200.1	39
NP_001291201.1	31
NP_001291202.1	31
NP_001291203.1	72
NP_001291204.1	270
NP_001291213.1	486
NP_001291215.1	119
NP_001291217.1	32
NP_001291260.1	372
NP_001291261.1	371
NP_001291262.1	143
NP_001291263.1	170
NP_001291271.1	123
NP_001291273.1	103
NP_001291274.1	103
NP_001291275.1	98
NP_001291276.1	129
NP_001291277.1	108
NP_001291278.1	62
NP_001291279.1	95
NP_001291280.1	298
NP_001291287.1	133
NP_001291288.1	684
NP_001291289.1	577
NP_001291290.1	214
NP_001291292.1	86
NP_001291293.1	86
NP_001291295.1	146
NP_001291298.1	51
NP_001291299.1	48
NP_001291300.1	40
NP_001291301.1	31
NP_001291302.1	17
NP_001291305.1	204
NP_001291311.1	37
NP_001291313.1	191
NP_001291314.1	79
NP_001291315.1	49
NP_001291317.1	187
NP_001291318.1	125
NP_001291319.1	154
NP_001291320.1	132
NP_001291321.1	114
NP_001291344.1	126
NP_001291345.1	116
NP_001291346.1	139
NP_001291347.1	252
NP_001291349.1	197
NP_001291350.1	188
NP_001291357.1	65
NP_001291358.1	65
NP_001291359.1	98
NP_001291360.1	65
NP_001291366.1	122
NP_001291367.1	362
NP_001291370.1	184
NP_001291371.1	184
NP_001291372.1	213
NP_001291373.1	215
NP_001291374.1	110
NP_001291376.1	202
NP_001291379.1	62
NP_001291380.1	138
NP_001291381.1	136
NP_001291386.1	278
NP_001291387.1	211
NP_001291388.1	139
NP_001291390.1	197
NP_001291391.1	158
NP_001291392.1	161
NP_001291393.1	14
NP_001291394.1	158
NP_001291395.1	156
NP_001291396.1	45
NP_001291401.1	308
NP_001291402.1	196
NP_001291403.1	196
NP_001291405.1	69
NP_001291406.1	69
NP_001291407.1	40
NP_001291408.1	216
NP_001291409.1	207
NP_001291411.1	607
NP_001291414.1	30
NP_001291415.1	30
NP_001291416.1	30
NP_001291417.1	26
NP_001291418.1	22
NP_001291419.1	22
NP_001291420.1	22
NP_001291421.1	213
NP_001291422.1	198
NP_001291423.1	198
NP_001291425.1	119
NP_001291426.1	48
NP_001291433.1	92
NP_001291434.1	60
NP_001291436.1	157
NP_001291438.1	121
NP_001291439.1	121
NP_001291440.1	121
NP_001291441.1	34
NP_001291442.1	31
NP_001291448.1	68
NP_001291449.1	68
NP_001291450.1	147
NP_001291451.1	128
NP_001291452.1	329
NP_001291453.1	299
NP_001291455.1	82
NP_001291456.1	96
NP_001291458.1	24
NP_001291459.1	31
NP_001291460.1	57
NP_001291461.1	32
NP_001291464.1	127
NP_001291465.1	229
NP_001291466.1	214
NP_001291477.1	372
NP_001291479.1	103
NP_001291490.1	162
NP_001291491.1	69
NP_001291492.1	75
NP_001291493.1	161
NP_001291495.1	77
NP_001291498.1	118
NP_001291646.2	41
NP_001291647.1	19
NP_001291651.1	116
NP_001291652.1	116
NP_001291653.1	113
NP_001291654.1	91
NP_001291672.1	297
NP_001291674.1	54
NP_001291677.1	123
NP_001291678.1	114
NP_001291688.1	64
NP_001291689.1	48
NP_001291691.1	46
NP_001291692.1	380
NP_001291693.1	380
NP_001291708.1	22
NP_001291711.1	66
NP_001291712.1	96
NP_001291716.1	218
NP_001291719.1	114
NP_001291720.1	113
NP_001291721.1	228
NP_001291722.1	43
NP_001291723.1	98
NP_001291724.1	98
NP_001291728.1	174
NP_001291731.1	187
NP_001291733.1	25
NP_001291734.1	25
NP_001291735.1	25
NP_001291737.1	332
NP_001291738.1	319
NP_001291740.1	139
NP_001291742.1	64
NP_001291743.1	64
NP_001291744.1	568
NP_001291746.1	39
NP_001291747.1	39
NP_001291748.1	39
NP_001291749.1	39
NP_001291750.1	39
NP_001291751.1	31
NP_001291752.1	31
NP_001291753.1	31
NP_001291754.1	31
NP_001291755.1	41
NP_001291758.1	135
NP_001291762.1	192
NP_001291763.1	122
NP_001291764.1	122
NP_001291765.1	122
NP_001291766.1	122
NP_001291767.1	122
NP_001291769.1	330
NP_001291868.1	464
NP_001291869.1	458
NP_001291870.1	458
NP_001291871.1	458
NP_001291872.1	458
NP_001291873.1	152
NP_001291876.1	157
NP_001291878.1	136
NP_001291880.1	93
NP_001291881.1	135
NP_001291882.1	115
NP_001291883.1	115
NP_001291886.1	126
NP_001291887.1	126
NP_001291888.1	126
NP_001291889.1	126
NP_001291890.1	123
NP_001291892.1	19
NP_001291893.1	89
NP_001291897.1	111
NP_001291898.1	423
NP_001291899.1	295
NP_001291919.1	107
NP_001291922.1	142
NP_001291925.1	53
NP_001291929.1	27
NP_001291931.1	106
NP_001291933.1	14
NP_001291934.1	122
NP_001291947.1	129
NP_001291948.1	129
NP_001291949.1	74
NP_001291962.1	284
NP_001291964.1	253
NP_001291965.1	253
NP_001291966.1	253
NP_001291967.1	253
NP_001291968.1	253
NP_001291969.1	253
NP_001291972.1	103
NP_001291978.1	54
NP_001291979.1	80
NP_001291980.1	54
NP_001291981.1	54
NP_001291995.1	56
NP_001292006.1	80
NP_001292007.1	80
NP_001292008.1	48
NP_001292009.1	79
NP_001292010.1	80
NP_001292011.1	81
NP_001292012.1	79
NP_001292013.1	51
NP_001292014.1	51
NP_001292015.1	56
NP_001292016.1	42
NP_001292017.1	38
NP_001292031.1	104
NP_001292034.1	163
NP_001292037.1	160
NP_001292044.1	77
NP_001292045.1	77
NP_001292050.1	74
NP_001292051.1	88
NP_001292063.1	69
NP_001292070.1	168
NP_001292071.1	168
NP_001292074.1	41
NP_001292084.1	72
NP_001292085.1	72
NP_001292092.1	93
NP_001292093.1	93
NP_001292102.1	151
NP_001292111.1	32
NP_001292132.1	198
NP_001292133.1	21
NP_001292171.1	52
NP_001292317.1	45
NP_001292322.1	27
NP_001292323.1	27
NP_001292353.1	555
NP_001292384.1	44
NP_001292385.1	44
NP_001292386.1	38
NP_001292473.1	239
NP_001292474.1	208
NP_001292486.1	7
NP_001292492.1	2
NP_001292493.1	2
NP_001292583.1	43
NP_001292584.1	43
NP_001292721.1	361
NP_001292769.1	33
NP_001292770.1	33
NP_001292771.1	33
NP_001292999.1	72
NP_001293.3	55
NP_001293003.1	54
NP_001293004.1	69
NP_001293005.1	391
NP_001293006.1	85
NP_001293008.1	584
NP_001293009.1	635
NP_001293011.1	179
NP_001293012.1	92
NP_001293013.1	567
NP_001293014.1	429
NP_001293015.1	121
NP_001293016.1	133
NP_001293018.1	447
NP_001293019.1	409
NP_001293020.1	124
NP_001293021.1	190
NP_001293022.1	115
NP_001293023.1	114
NP_001293058.1	779
